id	en1	jp1	en2	jp2
8270	merchandise	商品、製品	The store had a variety of merchandise.	店には様々な商品があった。
8271	pharmacist	薬剤師	I asked the pharmacist how to take the medicine.	薬剤師に薬の飲み方を聞きました。
8272	yarn	糸、物語	She bought some wool yarn.	彼女はウールの糸を買った。
8273	gargle	うがいをする	I gargled because my throat hurt.	喉が痛いので、うがいをした。
8274	detergent	洗剤	I used detergent for the laundry.	洗濯には洗剤を使った。
8275	dividend	配当金、分配金	The shareholders received a dividend.	株主は配当金を受け取った。
8276	preface	序文、前書き	I read the preface of the book.	本の序文を読んだ。
8277	reinforce	強化する、補強する	They reinforced the bridge.	彼らは橋を強化した。
8278	conceptual	概念的な、観念的な	It's a conceptual issue.	それは概念的な問題だ。
8279	tumble	転ぶ、落ちる	He tumbled down the stairs.	彼は階段から転んでしまった。
8280	contemplate	熟考する、じっくり考える	I contemplated the future.	私は将来について熟考した。
8281	traitor	裏切り者、反逆者	He was treated as a traitor.	彼は裏切り者として扱われた。
8282	fiscal	財政の、会計の	We discussed the government's fiscal policy.	政府の財政政策について議論した。
8283	tan	日焼け、日焼けする	She had a tan skin.	彼女は日焼けした肌をしていた。
8284	supervise	監督する、管理する	He supervises the team.	彼はチームを監督している。
8285	statistical	統計の、統計的な	We analyzed the data based on statistical information.	統計データに基づいて分析した。
8286	adore	敬愛する、熱愛する	She adores music.	彼女は音楽を熱愛している。
8287	vein	静脈、血管	Blood returns to the heart through the veins.	血液は静脈を通って心臓に戻る。
8288	directive	指示、指令	I received a directive from my boss.	上司から指示を受け取った。
8289	diameter	直径	The diameter of the circle is 10 centimeters.	その円の直径は10センチです。
8290	altar	祭壇	They got married in front of the altar.	彼らは祭壇の前で結婚式を挙げた。
8291	flap	パタパタ動く、羽ばたく	The bird flapped its wings.	鳥が翼をパタパタさせていた。
8292	skim	すくい取る、ざっと目を通す	He skimmed the surface of the soup.	彼はスープの表面をすくい取った。
8293	cripple	不自由にする、麻痺させる	He was crippled in the accident.	事故で足を不自由にされた。
8294	vocation	職業、天職	He chose teaching as his vocation.	彼は教師を天職に選んだ。
8295	sergeant	軍曹、巡査部長	He is a sergeant in the army.	彼は陸軍の軍曹だ。
8296	dose	服用量、一服	Please follow the dosage instructions.	薬の服用量を守ってください。
8297	paragraph	段落	This report is divided into several paragraphs.	このレポートはいくつかの段落に分かれています。
8298	marvelous	驚くべき、素晴らしい	The view was absolutely marvelous.	その景色は本当に素晴らしかったです。
8299	merrily	陽気に、楽しそうに	They walked along merrily singing.	彼らは陽気に歌いながら歩いていました。
8300	in exchange	交換に、引き換えに	I gave him the book in exchange for his notebook.	私は彼にその本を、彼のノートと交換に渡しました。
8301	hillside	丘の斜面、山腹	There were many flowers blooming on the hillside.	丘の斜面には花がたくさん咲いていました。
8302	margin	余白、縁	Write your notes in the margin of the page.	ページの余白にメモを書きなさい。
8303	swift	素早い、迅速な	That bird is flying swiftly.	その鳥は素早く飛んでいます。
8304	oral	口頭の、経口の	This is an oral test.	これは口頭のテストです。
8305	ambassador	大使	He is the American ambassador to Japan.	彼は日本へのアメリカ大使です。
8306	concentrated	集中した、濃縮された	She was concentrated on her studies.	彼女は勉強に集中していました。
8307	symphony	交響曲	He was moved by listening to the symphony.	彼はその交響曲を聴いて感動しました。
8308	tread	踏む、歩く	Please don't tread on the grass.	草を踏まないでください。
8309	magnificent	壮大な、素晴らしい	The castle was magnificent.	その城は壮大でした。
8310	errand	使い、用事	I'm going out on a few errands.	私はいくつかの用事で外出します。
8311	fairness	公平、公正	Fairness is important in all judgments.	すべての判断には公平性が重要です。
8312	patiently	辛抱強く	He waited patiently for his turn.	彼は辛抱強く順番を待っていました。
8313	dominant	支配的な、優勢な	That company has a dominant position in the market.	その会社は市場で支配的な地位を占めています。
8314	shrink	縮む、小さくなる	My shirt shrank after I washed it.	洗濯をしたらシャツが縮んでしまった。
8315	biology	生物学	She is majoring in biology at university.	彼女は大学で生物学を専攻しています。
8316	feed on	～を常食とする、～を餌にする	That bird feeds on insects.	その鳥は昆虫を餌にしています。
8317	capitalism	資本主義	Capitalism is based on competition.	資本主義は競争に基づいています。
8318	sparkle	輝く、きらめく	The diamond sparkled in the light.	ダイヤモンドは光の中で輝いていました。
8319	arena	競技場、闘技場	The arena was full for the concert.	そのアリーナはコンサートで満員でした。
8320	attain	達成する、到達する	He attained his goal.	彼は目標を達成しました。
8321	assign	割り当てる、任命する	He was assigned to that project.	彼はそのプロジェクトに割り当てられました。
8322	die down	静まる、衰える	The storm died down.	嵐は静まりました。
8323	conceive	想像する、抱く	She conceived a good idea.	彼女は良いアイデアを思いつきました。
8324	disgusting	むかつく、不快な	The food was disgustingly bad.	その食べ物はむかつくほどまずかったです。
8325	fascinating	魅惑的な、興味深い	The history is very fascinating.	その歴史は非常に興味深いです。
8326	dock	ドック、波止場	The ship arrived at the dock.	船がドックに着きました。
8327	retreat	退却する、撤退する	The army retreated.	軍隊は退却しました。
8328	productivity	生産性	The factory's productivity increased.	工場の生産性が向上しました。
8329	shiny	光沢のある、ピカピカの	Her shoes were shiny.	彼女の靴はピカピカに光っていました。
8330	sow	種をまく	Farmers sow seeds in the spring.	農民は春に種をまきます。
8331	courageous	勇敢な、勇気のある	The firefighters were courageous.	消防士は勇敢でした。
8332	majesty	威厳、荘厳さ	The queen had a majesty about her.	女王は威厳を持っていました。
8333	desperately	必死に、やけくそで	She was desperately calling for help.	彼女は必死に助けを求めていました。
8334	startle	びっくりさせる、驚かす	He was startled by the sudden noise.	彼は突然の音にびっくりしました。
8335	electricity	電気	This building is powered by electricity.	この建物は電気で動いています。
8336	freezer	冷凍庫	I put the ice cream in the freezer.	冷凍庫にアイスクリームを入れておきました。
